YEAR,DISTRICT,VEHICLE AT FAULT,VICTIM,TYPE OF ACCIDENT,# INJURED,# KILLED ,,,
2008,NORTH WEST DELHI,UNKNOWN,CAR,FATAL ACCIDENT,0,1,,,
2008,NORTH WEST DELHI,UNKNOWN,CYCLE,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,HTV/GDS,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,EAST DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SHAHDARA,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,PVT CAR,S/C & M/C,SIMPLE ACCIDENT,2,0,,,
2008,SOUTH WEST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),HTV/GDS,HTV,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,BUS OTR,CYCLE,SIMPLE ACCIDENT,1,0,,,
2008,NORTH EAST DELHI,S/C&M/C,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,SOUTH WEST DELHI,UNKNOWN,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,SOUTH EAST DELHI,PVT CAR,CAR,NON INJURY,0,0,,,
2008,WEST DELHI,UNKNOWN,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,NORTH WEST DELHI,MIN.BUS,CYCLE RICKSHAW,SIMPLE ACCIDENT,1,0,,,
2008,SHAHDARA,PVT CAR,S/C & M/C,FATAL ACCIDENT,0,1,,,
2008,SOUTH EAST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,, 
2008,NORTH DELHI(ROHINI),S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,TEMPO,S/C & M/C,NON INJURY,0,0,,,
2008,CENTRAL DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,CENTRAL DELHI,TSR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH DELHI,UNKNOWN,S/C & M/C,FATAL ACCIDENT,0,1,,,
2008,CENTRAL DELHI,BLUE LN,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,PVT CAR,HDC,FATAL ACCIDENT,0,1,,,
2008,SHAHDARA,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,PVT CAR,TSR,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,TEMPO,S/C & M/C,FATAL ACCIDENT,0,1,,,
2008,WEST DELHI,UNKNOWN,S/C & M/C,FATAL ACCIDENT,0,1,,,
2008,WEST DELHI,BUS OTR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,PVT CAR,SELF,NON INJURY,0,0,,,
2008,EAST DELHI,PVT CAR,TSR,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,UNKNOWN,S/C & M/C,FATAL ACCIDENT,0,1,,,
2008,NEW DELHI,HTV/GDS,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SHAHDARA,PVT CAR,CAR,NON INJURY,0,0,,,
2008,SOUTH EAST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,TEMPO,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NORTH EAST DELHI,HTV/GDS,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,NORTH EAST DELHI,TSR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH EAST DELHI,TEMPO,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH EAST DELHI,TSR,PEDESTRIAN,SIMPLE ACCIDENT,2,0,,,
2008,NEW DELHI,UNKNOWN,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,TRACTOR,TSR,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,PVT CAR,TSR,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,CAL CAB,CAR,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH EAST DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,PVT CAR,CAR,SIMPLE ACCIDENT,2,0,,,
